n,topo_dir,kp_class,density,seed,n_nodes,n_arcs,topology,n_macroitems,algorithm_ms
10000,inforest,neg_uncorr,sparse,10,10000,2995,inforest,8384,4.066000
10000,inforest,neg_uncorr,tree,1,10000,9999,inforest,4949,6.516000
10000,inforest,neg_uncorr,tree,2,10000,9999,inforest,4971,6.683000
10000,inforest,neg_uncorr,tree,3,10000,9999,inforest,4977,6.405000
10000,inforest,neg_uncorr,tree,4,10000,9999,inforest,4857,6.408000
10000,inforest,neg_uncorr,tree,5,10000,9999,inforest,4985,6.142000
10000,inforest,neg_uncorr,tree,6,10000,9999,inforest,5001,6.271000
10000,inforest,neg_uncorr,tree,7,10000,9999,inforest,4822,6.165000
10000,inforest,neg_uncorr,tree,8,10000,9999,inforest,4937,6.111000
10000,inforest,neg_uncorr,tree,9,10000,9999,inforest,4992,6.088000
10000,inforest,neg_uncorr,tree,10,10000,9999,inforest,4967,6.116000
10000,inforest,neg_weakly_corr,dense,1,10000,8953,inforest,4658,6.062000
10000,inforest,neg_weakly_corr,dense,2,10000,8971,inforest,4696,5.932000
10000,inforest,neg_weakly_corr,dense,3,10000,9039,inforest,4625,6.253000
10000,inforest,neg_weakly_corr,dense,4,10000,9037,inforest,4749,6.397000
10000,inforest,neg_weakly_corr,dense,5,10000,9015,inforest,4698,6.058000
10000,inforest,neg_weakly_corr,dense,6,10000,9041,inforest,4598,6.036000
10000,inforest,neg_weakly_corr,dense,7,10000,8985,inforest,4678,6.220000
10000,inforest,neg_weakly_corr,dense,8,10000,8980,inforest,4625,7.451000
10000,inforest,neg_weakly_corr,dense,9,10000,9001,inforest,4727,6.062000
10000,inforest,neg_weakly_corr,dense,10,10000,9012,inforest,4730,5.936000
10000,inforest,neg_weakly_corr,medium,1,10000,6002,inforest,6442,4.826000
10000,inforest,neg_weakly_corr,medium,2,10000,6028,inforest,6452,5.014000
10000,inforest,neg_weakly_corr,medium,3,10000,6069,inforest,6343,5.224000
10000,inforest,neg_weakly_corr,medium,4,10000,6033,inforest,6381,4.934000
10000,inforest,neg_weakly_corr,medium,5,10000,5967,inforest,6476,4.815000
10000,inforest,neg_weakly_corr,medium,6,10000,5991,inforest,6413,4.902000
10000,inforest,neg_weakly_corr,medium,7,10000,5930,inforest,6535,5.650000
10000,inforest,neg_weakly_corr,medium,8,10000,5989,inforest,6538,5.310000
10000,inforest,neg_weakly_corr,medium,9,10000,5991,inforest,6427,4.901000
10000,inforest,neg_weakly_corr,medium,10,10000,6008,inforest,6495,4.984000
10000,inforest,neg_weakly_corr,sparse,1,10000,2931,inforest,7965,4.020000
10000,inforest,neg_weakly_corr,sparse,2,10000,2952,inforest,7997,4.160000
10000,inforest,neg_weakly_corr,sparse,3,10000,2938,inforest,8000,4.910000
10000,inforest,neg_weakly_corr,sparse,4,10000,3043,inforest,7989,4.225000
10000,inforest,neg_weakly_corr,sparse,5,10000,2994,inforest,7943,3.902000
10000,inforest,neg_weakly_corr,sparse,6,10000,3014,inforest,8021,3.962000
10000,inforest,neg_weakly_corr,sparse,7,10000,3009,inforest,7961,3.911000
10000,inforest,neg_weakly_corr,sparse,8,10000,2963,inforest,8013,4.135000
10000,inforest,neg_weakly_corr,sparse,9,10000,2948,inforest,7997,3.888000
10000,inforest,neg_weakly_corr,sparse,10,10000,2924,inforest,8069,4.058000
10000,inforest,neg_weakly_corr,tree,1,10000,9999,inforest,3947,6.441000
10000,inforest,neg_weakly_corr,tree,2,10000,9999,inforest,4067,7.412000
10000,inforest,neg_weakly_corr,tree,3,10000,9999,inforest,3952,6.516000
10000,inforest,neg_weakly_corr,tree,4,10000,9999,inforest,4008,6.277000
10000,inforest,neg_weakly_corr,tree,5,10000,9999,inforest,3932,7.165000
10000,inforest,neg_weakly_corr,tree,6,10000,9999,inforest,4184,7.036000
10000,inforest,neg_weakly_corr,tree,7,10000,9999,inforest,3967,6.513000
10000,inforest,neg_weakly_corr,tree,8,10000,9999,inforest,3778,6.452000
10000,inforest,neg_weakly_corr,tree,9,10000,9999,inforest,4012,6.372000
10000,inforest,neg_weakly_corr,tree,10,10000,9999,inforest,4114,6.355000
